ID,Name,Age,City
157,Alice,51,Los Angeles
158,Grace,40,New York
159,Bob,39,Miami
160,Eve,51,Chicago
161,Bob,24,Houston
162,Ivy,19,San Francisco
163,Bob,57,San Francisco
164,Helen,35,Miami
165,David,40,Miami
166,Jack,53,Chicago
167,Charlie,37,Miami
168,Jack,24,Los Angeles
169,Frank,56,Chicago
170,Eve,21,San Francisco
171,Ivy,33,San Francisco
172,Bob,29,Chicago
173,Ivy,32,Houston
174,Charlie,27,San Francisco
175,David,52,Los Angeles
176,Charlie,18,Chicago
177,Jack,47,San Francisco
178,Bob,40,Los Angeles
179,Bob,26,Houston
180,Frank,23,Los Angeles
181,Helen,43,San Francisco
182,Charlie,35,Houston
183,Charlie,43,Chicago
184,Eve,51,Houston
185,Charlie,58,Miami
186,Charlie,37,Miami
187,Eve,36,New York
188,Grace,27,Los Angeles
189,Grace,26,San Francisco
190,Bob,29,Houston
191,Helen,34,Chicago
192,Jack,38,Miami
193,Bob,31,Miami
194,Grace,25,San Francisco
195,David,33,San Francisco
196,Bob,20,Chicago
197,Jack,26,New York
198,Bob,38,Houston
199,Eve,59,Houston
200,Helen,26,San Francisco
201,Grace,37,Chicago
202,Jack,24,Miami
203,Jack,40,New York
204,Eve,22,Miami
205,Ivy,51,Houston
206,Helen,53,New York
207,Charlie,31,San Francisco
208,Frank,29,Chicago
209,David,22,Houston
210,Helen,49,Houston
211,Helen,59,San Francisco
212,Bob,18,Chicago
213,Charlie,58,Houston
214,Eve,55,Los Angeles
215,Alice,51,Chicago
216,Ivy,35,Houston
217,David,31,Chicago
218,Frank,36,San Francisco
219,Bob,33,San Francisco
220,David,33,Chicago
221,Ivy,48,Miami
222,Jack,36,Los Angeles
223,David,20,Miami
224,David,28,Houston
225,Grace,23,Miami
226,Alice,57,San Francisco
227,Jack,32,Los Angeles
228,Grace,33,San Francisco
229,Alice,30,New York
230,Eve,44,Los Angeles
231,Charlie,59,Chicago
232,Eve,31,Houston
233,Helen,42,San Francisco
234,Bob,37,New York
235,David,40,New York
236,Jack,45,Miami
237,Eve,18,Los Angeles
238,Bob,46,Los Angeles
239,Jack,54,Chicago
240,Grace,39,Miami
241,Alice,54,Miami
242,Eve,22,Los Angeles
243,Helen,43,New York
244,Bob,31,New York
245,Helen,47,Los Angeles
246,Helen,38,New York
247,Grace,23,New York
248,Charlie,47,Houston
249,Frank,39,Los Angeles
250,Helen,28,Chicago
251,Helen,57,New York
252,Frank,47,San Francisco
253,Charlie,50,New York
254,Grace,26,San Francisco
255,Helen,23,New York
256,Frank,42,Miami
257,Charlie,46,San Francisco
258,Bob,57,New York
259,Jack,22,Miami
260,Grace,51,New York
261,Helen,46,San Francisco
262,David,27,Chicago
263,Alice,23,Los Angeles
264,Grace,46,Houston
265,Grace,49,San Francisco
266,Alice,46,Chicago
267,Eve,32,San Francisco
268,Grace,60,Los Angeles
269,David,46,Chicago
270,Ivy,45,Chicago
271,Alice,33,Miami
272,Helen,50,San Francisco
273,Helen,49,Houston
274,Grace,38,Houston
275,Jack,41,Los Angeles
276,Grace,40,Miami
277,Ivy,20,New York
278,Frank,60,San Francisco
279,Grace,21,Miami
280,Bob,47,Los Angeles
281,Charlie,50,Chicago
282,Ivy,38,Miami
283,Alice,47,Miami
284,Ivy,18,Miami
285,Jack,19,Miami
286,Charlie,40,Los Angeles
287,Bob,41,San Francisco
288,Charlie,55,Houston
289,Helen,54,San Francisco
290,Ivy,34,San Francisco
291,David,59,Miami
292,Frank,45,Los Angeles
293,Eve,29,Houston
294,Alice,42,San Francisco
295,Charlie,44,Chicago
296,Grace,48,Houston
297,Eve,40,Houston
298,Bob,58,Los Angeles
299,Helen,18,Chicago
300,Eve,42,Los Angeles
301,Charlie,56,San Francisco
302,Bob,49,San Francisco
303,Bob,34,San Francisco
304,Grace,55,Chicago
305,Charlie,51,New York
306,Grace,48,Houston
307,Helen,46,New York
308,Alice,34,New York
309,Bob,19,Houston
310,Frank,44,Miami
311,Charlie,60,Chicago
312,Charlie,32,New York
313,David,45,New York
314,Jack,30,San Francisco
315,Eve,53,New York
316,Ivy,50,Los Angeles
317,Bob,56,Los Angeles
318,Charlie,22,Los Angeles
319,Alice,42,San Francisco
320,Ivy,45,Miami
321,Helen,37,Los Angeles
322,Eve,56,Los Angeles
323,David,41,San Francisco
324,Frank,49,Miami
325,Helen,26,Chicago
326,Grace,29,Houston
327,Frank,39,Los Angeles
328,Jack,42,San Francisco
329,Ivy,56,New York
330,Bob,44,Chicago
331,Jack,21,Houston
332,Ivy,55,Chicago
333,Jack,31,New York
334,Bob,56,Los Angeles
335,Ivy,22,Los Angeles
336,Charlie,45,New York
337,Charlie,42,Chicago
338,Eve,59,San Francisco
339,David,59,New York
340,Alice,58,Houston
341,Alice,47,Houston
342,Charlie,48,New York
343,Charlie,40,New York
344,Grace,20,Chicago
345,Frank,48,Houston
346,Frank,32,New York
347,Jack,48,Miami
348,Eve,58,Miami
349,Eve,38,New York
350,Grace,38,Miami
351,David,56,Houston
352,Frank,54,Chicago
353,Bob,48,Miami
354,Charlie,27,Miami
355,David,31,Chicago
356,Charlie,41,Los Angeles
357,Grace,57,Houston
358,Frank,35,Chicago
359,Alice,54,San Francisco
360,Grace,51,Los Angeles
361,Bob,55,Los Angeles
362,Helen,25,Los Angeles
363,Frank,20,New York
364,Frank,44,New York
365,Jack,50,San Francisco
366,Grace,53,Chicago
367,Helen,60,Miami
368,David,58,Miami
369,Helen,36,New York
370,Bob,36,Los Angeles
371,Grace,35,New York
372,Helen,27,Houston
373,Frank,42,Chicago
374,Alice,48,Chicago
375,Ivy,59,New York
376,Ivy,35,San Francisco
377,Charlie,29,Miami
378,Frank,22,Houston
379,Alice,30,Miami
380,Eve,54,Chicago
381,Charlie,41,New York
382,David,51,Los Angeles
383,Charlie,51,New York
384,Jack,20,New York
385,Eve,35,Los Angeles
386,Alice,45,Chicago
387,David,35,Houston
388,Helen,53,New York
389,Jack,45,Miami
390,David,36,New York
391,Ivy,45,Chicago
392,Frank,50,Los Angeles
393,Helen,45,New York
394,Ivy,51,Houston
395,Grace,50,Miami
396,Ivy,45,Chicago
397,Ivy,23,Los Angeles
398,Ivy,29,San Francisco
399,Ivy,22,San Francisco
400,Helen,29,Houston
401,Jack,26,Houston
402,David,20,San Francisco
403,Eve,18,Chicago
404,David,32,San Francisco
405,Ivy,53,New York
406,Grace,58,Miami
407,Ivy,35,Miami
408,Charlie,35,San Francisco
409,Charlie,51,Chicago
410,Ivy,35,New York
411,Alice,35,Miami
412,Alice,26,San Francisco
413,Alice,26,New York
414,Eve,26,New York
415,Charlie,58,Houston
416,Bob,41,Los Angeles
417,Eve,36,New York
418,Bob,42,New York
419,Alice,60,Chicago
420,Helen,57,Houston
421,Bob,47,Miami
422,Frank,19,New York
423,Grace,59,New York
424,Ivy,26,Chicago
425,Jack,36,Los Angeles
426,David,37,Chicago
427,Jack,55,New York
428,Helen,42,Miami
429,Helen,44,Houston
430,David,40,Miami
431,Charlie,36,San Francisco
432,Ivy,36,Chicago
433,David,39,San Francisco
434,Bob,55,Chicago
435,Helen,42,San Francisco
436,Helen,43,Los Angeles
437,Charlie,24,San Francisco
438,Jack,56,Chicago
439,David,38,Chicago
440,Eve,46,Miami
441,Alice,54,Chicago
442,Charlie,22,Chicago
443,Frank,24,Chicago
444,Charlie,19,Houston
445,Frank,56,Los Angeles
446,Grace,51,New York
447,Helen,53,Houston
448,Charlie,41,Chicago
449,Charlie,47,Chicago
450,Helen,60,Chicago
451,Frank,19,San Francisco
452,Charlie,43,Miami
453,Frank,23,Chicago
454,Ivy,47,Miami
455,Grace,52,Houston
456,Charlie,59,San Francisco
457,Bob,59,Houston
458,Helen,59,New York
459,Alice,21,San Francisco
460,Helen,22,Miami
461,Eve,37,Chicago
462,Bob,35,Houston
463,David,29,Miami
464,Grace,31,Chicago
465,Bob,34,Chicago
466,Eve,51,New York
467,Jack,60,San Francisco
468,Bob,33,New York
469,Bob,56,San Francisco
470,Bob,40,Chicago
471,Grace,39,Chicago
472,Alice,37,Miami
473,Bob,57,New York
474,Charlie,50,New York
475,Bob,47,Los Angeles
476,Bob,57,New York
477,Eve,56,San Francisco
478,Ivy,28,Houston
479,Jack,31,Houston
480,Charlie,57,Miami
481,Ivy,41,New York
482,Alice,37,Miami
483,Grace,53,Miami
484,Jack,41,Miami
485,Frank,38,New York
486,Alice,33,Miami
487,Helen,30,San Francisco
488,Helen,29,Chicago
489,Jack,27,Miami
490,Eve,49,Chicago
491,Jack,35,Miami
492,Eve,47,Chicago
493,Eve,31,Chicago
494,Frank,28,Miami
495,Grace,31,Houston
496,Eve,58,San Francisco
497,Charlie,39,Los Angeles
498,Eve,44,New York
499,Eve,52,Los Angeles
500,Helen,22,Miami
501,Jack,37,San Francisco
502,Jack,36,San Francisco
503,Grace,55,Chicago
504,Bob,45,Houston
505,David,21,Houston
506,David,47,New York
507,Jack,34,Los Angeles
508,Charlie,50,Houston
509,Eve,39,New York
510,Charlie,49,Chicago
511,Eve,47,New York
512,Eve,26,Miami
513,Frank,18,New York
514,Frank,47,New York
515,Alice,42,Chicago
516,Charlie,37,Chicago
517,Alice,47,San Francisco
518,David,57,Los Angeles
519,Grace,51,San Francisco
520,Charlie,56,Chicago
521,Helen,45,Miami
522,Ivy,18,Miami
523,Frank,41,Chicago
524,Ivy,25,Miami
525,Frank,35,New York
526,Eve,35,Miami
527,Helen,54,Los Angeles
528,Ivy,48,Los Angeles
529,Ivy,39,New York
530,Ivy,32,Chicago
531,Eve,38,Los Angeles
532,David,33,Miami
533,Eve,20,Houston
534,Jack,59,San Francisco
535,Jack,18,New York
536,Jack,37,Miami
537,Frank,23,San Francisco
538,David,42,New York
539,Helen,46,Chicago
540,Helen,58,Miami
541,David,25,New York
542,Bob,42,Houston
543,Ivy,20,Miami
544,Grace,55,New York
545,Grace,53,Houston
546,Eve,28,Houston
547,Jack,43,New York
548,David,36,Houston
549,Helen,26,Houston
550,Alice,32,Los Angeles
551,Bob,45,Chicago
552,Eve,30,Miami
553,Helen,32,Los Angeles
554,Alice,36,New York
555,Charlie,31,San Francisco
556,Helen,31,New York
557,Grace,23,Chicago
558,Jack,26,New York
559,Eve,32,Chicago
560,David,22,Houston
561,Bob,30,Houston
562,Bob,37,Miami
563,Eve,46,Miami
564,Ivy,59,Chicago
565,Ivy,50,Houston
566,Jack,52,San Francisco
567,Bob,37,New York
568,Charlie,57,Houston
569,Jack,33,Miami
570,Eve,32,Chicago
571,Helen,58,Miami
572,Bob,51,Houston
573,Alice,24,Los Angeles
574,Ivy,57,Houston
575,Charlie,53,Miami
576,Eve,31,San Francisco
577,Helen,54,New York
578,Ivy,18,Miami
579,Eve,30,Chicago
580,Jack,27,Miami
581,Frank,25,Chicago
582,Eve,37,Los Angeles
583,Eve,58,Chicago
584,Helen,40,Chicago
585,Eve,44,Houston
586,Frank,54,Los Angeles
587,Helen,38,Los Angeles
588,David,57,Houston
589,Ivy,43,Los Angeles
590,Bob,53,Miami
591,Ivy,24,New York
592,Alice,25,Chicago
593,Alice,29,Chicago
594,Grace,53,Chicago
595,Eve,55,Los Angeles
596,David,48,Houston
597,Charlie,38,San Francisco
598,David,54,San Francisco
599,Helen,38,San Francisco
600,Ivy,43,Los Angeles
601,Helen,24,Los Angeles
602,Frank,57,Chicago
603,Bob,24,Miami
604,Charlie,48,San Francisco
605,Eve,54,New York
606,David,30,New York
607,Grace,51,New York
608,Grace,49,San Francisco
609,Bob,22,San Francisco
610,Helen,49,New York
611,Ivy,54,Chicago
612,Helen,27,Houston
613,Charlie,47,Chicago
614,Jack,33,Miami
615,Jack,51,San Francisco
616,Grace,27,San Francisco
617,Frank,44,Los Angeles
618,Eve,18,Miami
619,David,40,Chicago
620,Eve,52,New York
621,Jack,41,Los Angeles
622,Bob,46,Los Angeles
623,Jack,60,San Francisco
624,Ivy,24,Chicago
625,Frank,32,Miami
626,Jack,20,Los Angeles
627,Bob,39,Houston
628,Helen,18,Los Angeles
629,Bob,41,New York
630,Ivy,32,San Francisco
631,Frank,60,Chicago
632,David,28,Miami
633,Bob,32,New York
634,Jack,33,Houston
635,Jack,33,Miami
636,Bob,58,Chicago
637,Jack,43,Chicago
638,Alice,22,Houston
639,Charlie,41,Chicago
640,Jack,37,Chicago
641,Ivy,36,Miami
642,Grace,51,Chicago
643,David,51,San Francisco
644,Alice,29,Miami
645,Bob,58,Los Angeles
646,Ivy,51,Miami
647,Alice,24,Chicago
648,David,46,Miami
649,Alice,18,Chicago
650,Alice,36,San Francisco
651,Ivy,26,Miami
652,Ivy,29,Chicago
653,Bob,31,Houston
654,Bob,55,Houston
655,Grace,27,San Francisco
656,David,46,New York
657,Alice,27,San Francisco
658,Eve,45,Chicago
659,Frank,59,Chicago
660,Jack,57,New York
661,Grace,28,New York
662,Alice,40,Los Angeles
663,Charlie,45,Chicago
664,Alice,24,Chicago
665,Jack,25,New York
666,Ivy,19,New York
667,Bob,59,Los Angeles
668,David,58,Los Angeles
669,Ivy,36,San Francisco
670,Grace,35,Houston
671,Helen,38,New York
672,Bob,28,Miami
673,Frank,42,New York
674,Eve,60,Los Angeles
675,Helen,24,Houston
676,David,36,New York
677,Jack,32,Chicago
678,Charlie,47,Miami
679,David,38,Houston
680,Charlie,24,San Francisco
681,Ivy,55,Los Angeles
682,Alice,57,Miami
683,Ivy,51,New York
684,Eve,32,Houston
685,Bob,49,New York
686,Grace,25,Los Angeles
687,Charlie,48,Los Angeles
688,Eve,30,Chicago
689,Jack,48,Houston
690,Grace,54,Houston
691,Ivy,43,Los Angeles
692,Helen,42,New York
693,Charlie,42,San Francisco
694,Charlie,51,Houston
695,Jack,52,Miami
696,Bob,29,New York
697,Grace,22,Miami
698,Helen,36,Miami
699,Bob,23,Houston
700,Frank,31,Miami
701,Helen,58,Chicago
702,Grace,48,New York
703,Alice,42,New York
704,David,26,Houston
705,Charlie,30,Miami
706,Bob,57,Los Angeles
707,Frank,56,New York
708,Charlie,19,Miami
709,Jack,26,San Francisco
710,Jack,44,Los Angeles
711,Jack,30,New York
712,Ivy,38,Los Angeles
713,Helen,27,Houston
714,Ivy,20,Los Angeles
715,Ivy,24,Houston
716,Frank,59,Chicago
717,Grace,44,Miami
718,Ivy,47,Miami
719,Alice,59,New York
720,Alice,59,Miami
721,Bob,58,Miami
722,Helen,26,San Francisco
723,Grace,37,Houston
724,Jack,49,Los Angeles
725,Frank,46,Los Angeles
726,Ivy,35,Houston
727,Jack,48,New York
728,Charlie,38,Los Angeles
729,Ivy,29,New York
730,Bob,41,Chicago
731,Frank,38,Chicago
732,Ivy,52,Houston
733,Charlie,32,Houston
734,Frank,43,San Francisco
735,Helen,33,Chicago
736,Frank,56,Houston
737,Eve,35,San Francisco
738,Bob,28,Houston
739,Charlie,39,Miami
740,Charlie,38,Chicago
741,Alice,46,Chicago
742,Charlie,23,New York
743,Jack,37,San Francisco
744,David,45,New York
745,Ivy,23,New York
746,Grace,52,Miami
747,Frank,31,Houston
748,Eve,18,San Francisco
749,Frank,40,Los Angeles
750,David,52,Miami
751,,,San Francisco
752,Alice,36,Los Angeles
753,Alice,59,Miami
754,Charlie,20,Los Angeles
755,Ivy,25,Chicago
756,Bob,58,Chicago
757,Helen,39,Miami
758,David,34,New York
759,Charlie,22,Houston
760,David,42,Los Angeles
761,David,30,New York
762,Eve,38,Miami
763,Ivy,23,Los Angeles
764,Grace,53,Chicago
765,Bob,48,Miami
766,Jack,42,San Francisco
767,Bob,29,Chicago
768,Helen,45,Miami
769,Charlie,58,Miami
770,Jack,55,Los Angeles
771,Charlie,39,New York
772,Ivy,Age,New York
773,Frank,21,New York
774,Bob,42,San Francisco
775,Alice,53,Houston
776,Grace,21,New York
777,Ivy,41,San Francisco
778,Alice,43,San Francisco
779,Charlie,30,New York
780,Eve,28,New York
781,Bob,51,Miami
782,Charlie,52,Miami
783,Frank,53,Miami
784,Alice,44,Los Angeles
785,Grace,50,New York
786,Helen,56,San Francisco
787,Alice,34,Houston
788,Ivy,19,New York
789,Bob,46,San Francisco
790,Frank,56,Chicago
791,Frank,33,Los Angeles
792,Helen,59,Miami
793,David,27,Chicago
794,Ivy,53,Chicago
795,Bob,33,New York
796,David,55,Houston
797,Jack,52,Chicago
798,Bob,33,Houston
799,Eve,30,San Francisco
800,Eve,57,Miami
801,Bob,31,Los Angeles
802,Jack,56,Houston
803,Grace,39,New York
804,Alice,48,San Francisco
805,David,58,Houston
806,David,40,Houston
807,Frank,32,New York
808,Ivy,40,Chicago
809,Bob,18,Houston
810,Helen,57,Los Angeles
811,Charlie,20,San Francisco
812,Alice,45,Miami
813,Alice,58,Miami
814,Charlie,60,Houston
815,Ivy,48,Houston
816,Grace,31,Miami
817,Bob,40,San Francisco
818,Ivy,23,New York
819,Jack,59,San Francisco
820,Eve,59,Los Angeles
821,Frank,46,Los Angeles
822,Jack,54,New York
823,Frank,51,New York
824,Helen,21,Miami
825,David,52,Houston
826,Bob,28,Los Angeles
827,David,26,Miami
828,Frank,58,Miami
829,Eve,60,New York
830,Ivy,34,Houston
831,Alice,58,Miami
832,Frank,57,New York
833,Alice,40,Houston
834,Grace,26,Chicago
835,Bob,47,Los Angeles
836,Eve,22,Los Angeles
837,Bob,24,San Francisco
838,Ivy,20,San Francisco
839,Helen,33,Los Angeles
840,Bob,27,Houston
841,Charlie,19,Los Angeles
842,David,28,Los Angeles
843,David,37,Houston
844,Frank,55,Los Angeles
845,David,59,Houston
846,Helen,39,Chicago
847,Charlie,28,Los Angeles
848,Jack,39,Los Angeles
849,Alice,19,Los Angeles
850,Jack,37,Los Angeles
851,Charlie,56,Chicago
852,Helen,45,Chicago
853,Ivy,39,Miami
854,Charlie,48,San Francisco
855,Frank,26,Chicago
856,Grace,59,San Francisco
857,Eve,29,San Francisco
858,Frank,51,San Francisco
859,Charlie,37,Chicago
860,David,41,Los Angeles
861,Ivy,35,New York
862,Frank,21,Houston
863,Helen,57,Los Angeles
864,Jack,34,San Francisco
865,Jack,36,Chicago
866,David,43,Miami
867,Frank,45,New York
868,Frank,25,Miami
869,Grace,20,Miami
870,Jack,32,Chicago
871,Frank,21,Houston
872,Eve,51,Miami
873,Grace,51,San Francisco
874,Alice,41,Miami
875,Jack,47,New York
876,David,42,New York
877,Jack,21,San Francisco
878,Bob,47,Houston
879,Helen,46,Miami
880,Helen,31,Houston
881,Helen,19,Miami
882,Bob,27,New York
883,Frank,20,Chicago
884,Eve,49,New York
885,Jack,58,Miami
886,Alice,21,San Francisco
887,Grace,35,San Francisco
888,Frank,60,New York
889,David,44,Houston
890,David,48,New York
891,David,40,Miami
892,Alice,58,San Francisco
893,Jack,23,New York
894,Charlie,38,Los Angeles
895,Frank,26,San Francisco
896,Frank,59,Houston
897,Helen,37,Chicago
898,David,45,Miami
899,Ivy,42,San Francisco
900,Grace,32,New York
901,Charlie,51,Chicago
902,Alice,22,Houston
903,Bob,26,Chicago
904,Alice,59,Los Angeles
905,Ivy,33,Los Angeles
906,Eve,41,Los Angeles
907,Jack,21,New York
908,Alice,26,Los Angeles
909,Frank,53,New York
910,Grace,51,Miami
911,Charlie,22,Chicago
912,Jack,49,Houston
913,Eve,54,San Francisco
914,David,45,Chicago
915,Ivy,47,Miami
916,Jack,36,Los Angeles
917,Grace,55,New York
918,Alice,34,San Francisco
919,Eve,44,Miami
920,Frank,44,San Francisco
921,Bob,55,San Francisco
922,Jack,36,Houston
923,Alice,23,San Francisco
924,Jack,58,Miami
925,Eve,23,San Francisco
926,Charlie,18,Miami
927,Helen,60,Miami
928,Jack,42,Los Angeles
929,Helen,47,Los Angeles
930,David,31,Los Angeles
931,Helen,56,Houston
932,Jack,47,Houston
933,Jack,43,New York
934,Charlie,18,Houston
935,Charlie,36,Chicago
936,Helen,43,Los Angeles
937,Bob,18,New York
938,Bob,41,Houston
939,David,37,New York
940,Grace,34,Los Angeles
941,Alice,40,Los Angeles
942,Grace,42,Houston
943,Bob,22,Chicago
944,Bob,36,Los Angeles
945,Ivy,24,Miami
946,Charlie,59,Houston
947,Alice,26,Chicago
948,Charlie,34,New York
949,Jack,53,Miami
950,Ivy,58,Los Angeles
951,Charlie,18,Houston
952,David,53,San Francisco
953,Alice,36,New York
954,Frank,58,Chicago
955,Grace,48,San Francisco
956,Jack,56,Los Angeles
957,Helen,51,Houston
958,Eve,31,Miami
959,Ivy,58,Miami
960,Eve,22,Miami
961,Eve,47,Miami
962,David,20,San Francisco
963,Grace,47,New York
964,Frank,23,Chicago
965,Eve,52,Miami
966,Helen,24,Houston
967,Frank,57,Los Angeles
968,Grace,40,San Francisco
969,Helen,46,Houston
970,Ivy,51,New York
971,Alice,46,New York
972,Charlie,56,Los Angeles
973,Frank,20,Houston
974,Charlie,31,Chicago
975,Bob,58,Los Angeles
976,David,20,Chicago
977,Grace,58,Miami
978,Eve,36,San Francisco
979,Grace,41,Miami
980,Bob,23,San Francisco
981,Ivy,57,Chicago
982,Charlie,35,Miami
983,Eve,42,Los Angeles
984,Charlie,60,San Francisco
985,Charlie,31,Chicago
986,Bob,43,Houston
987,Jack,47,Miami
988,David,52,Los Angeles
989,Grace,45,Houston
990,Charlie,50,New York
991,David,20,Houston
992,Bob,38,San Francisco
993,David,49,Chicago
994,Bob,55,Los Angeles
995,Jack,42,Chicago
996,Helen,23,Miami
997,Helen,52,New York
998,Eve,56,San Francisco
999,Helen,60,Chicago
1000,Alice,50,Chicago
1001,Ivy,22,Miami
1002,Alice,22,Chicago
1003,Alice,41,Chicago
1004,Charlie,29,San Francisco
1005,Eve,40,New York
1006,Grace,19,Miami
1007,David,47,San Francisco
1008,Jack,51,San Francisco
1009,Alice,26,Los Angeles
1010,Charlie,29,Los Angeles
1011,Jack,40,Chicago
1012,Jack,22,San Francisco
1013,Alice,52,Houston
1014,Grace,27,Houston
1015,Helen,19,San Francisco
1016,Alice,35,San Francisco
1017,Frank,44,Chicago
1018,Bob,52,San Francisco
1019,Alice,53,Miami
1020,Frank,30,Miami
1021,Frank,26,New York
1022,Frank,43,Miami
1023,Helen,59,Miami
1024,Grace,36,San Francisco
1025,Frank,29,Chicago
1026,Bob,50,Miami
1027,Alice,20,San Francisco
1028,Alice,39,Houston
1029,Bob,50,Miami
1030,Jack,32,New York
1031,Grace,57,Miami
1032,Eve,24,Miami
1033,Helen,51,Miami
1034,Eve,55,Miami
1035,Alice,31,Miami
1036,Ivy,42,Miami
1037,Bob,32,Miami
1038,David,22,San Francisco
1039,David,55,San Francisco
1040,Eve,60,Chicago
1041,Ivy,59,Chicago
1042,Charlie,22,San Francisco
1043,Bob,37,Miami
1044,Bob,37,Houston
1045,Grace,29,Houston
1046,Jack,18,Chicago
1047,Charlie,36,San Francisco
1048,Eve,37,Chicago
1049,Bob,38,Los Angeles
1050,Frank,31,Miami
1051,Frank,35,Chicago
1052,Jack,46,Houston
1053,Frank,28,San Francisco
1054,Jack,27,Los Angeles
1055,Frank,21,Miami
1056,Jack,30,Los Angeles
1057,Ivy,44,Chicago
1058,Jack,22,New York
1059,Helen,49,Miami
1060,Charlie,54,New York
1061,Ivy,41,Miami
1062,Grace,41,Miami
1063,Alice,19,Houston
1064,Alice,49,Los Angeles
1065,Jack,55,Chicago
1066,Frank,54,New York
1067,Ivy,38,Miami
1068,Eve,22,Miami
1069,Grace,43,Los Angeles
1070,Frank,23,New York
1071,Ivy,36,Chicago
1072,Eve,31,New York
1073,Frank,51,New York
1074,Helen,51,New York
1075,Alice,18,San Francisco
1076,David,41,San Francisco
1077,Charlie,36,Miami
1078,Helen,41,Los Angeles
1079,Ivy,44,Houston
1080,Grace,28,Chicago
1081,Eve,52,New York
1082,Bob,39,Los Angeles
1083,Grace,28,Los Angeles
